prolific_id,Q0,Q1,Q2,Q3,Q4,Q5,Q6
sub_13,"No, everything was very clear",I tried to identify the object that had similar features: such as a pointy corner or long and curved sides,"Yes, it was the right amount of time",-,The instructions were easy to understand,"yes, I did",-
sub_14,no,by how they looks,yes,no,no,yes,no
sub_15,"No, everything was clear.",Angle of corners and curve of the walls,"99% yes, but there were few moments when I felt like I rushed",none,"In my first trial, even though I understand instructions, it was hard to follow them so my accuracy was low.","No, I felt rushed quite a bit in this task",Give us a message if the response was registered or not. Few times I clicked at the very last moment and didn't know if it counted my response or not.
sub_16,no,based on initial visual perception,just about,nothing else to add,no,just about,nothing further to add
sub_17,no,"I tired to match the profile of the image, linking the concave shapes etc",yes,no,no,yes,no
sub_18,No,By looking at the bottom shading and overall shape,yes,n/a,No,I missed 1,N/A
sub_19,no,"size, shape, concavity/convexity of edges.  also shape os shadow ",yes,no,no,yes,no
sub_20,no,I just compared the objects,yes,no,no,yes,no
sub_21,No,By deciding if the middle object was more round or triangular and then comparing to the others ,Yes,No,No,Yes,No
sub_22,"No, very simple and easy to understand",Looked if the sides were more straight or curved,yes,No,No also very easy to understand,yes,No
sub_23,"Nothing unclear, but the 3rd set of trials (2nd similarity?) seemed to start with little preamble - I was expecting instructions again (or perhaps I missed them!)",I was looking at convex or concave edges,"mostly, yes",no,No,"Mostly, yes",no
sub_24,No everything was very clear.,"Based on the sides and the curvature, so it was coming out or going in.",yes,n/a,Everything was clear,yes,n/a
sub_25,No,How fat/thin or pointy they were,Yes,No,Yes - a practice session would have been helpful,Yes,no
sub_26,No,Shape and size,"Not always, especially at the beginning of the assignment",No,No,Not always,No
sub_27,no,i just went with my instinct when i first looked ,yes,no ,no,yes,it would have been good to use different keys to the ones before as i kept mixing them up
sub_28,no,depending on the edges of the base and the shape size of it.,yes,no,no,yes,no
sub_29,No it was pretty clear. ,I judged by the size and how close of a similarity of the shape's curvature. ,Just about enough time to make a choice.,None.,It was clear until the experiment started. How was I to compare the first shape shown? Getting used to the 2nd experiment took me a few miss trials. There should have been a trial part before starting the experiment like in the first task. ,Yes.,None.
sub_30,no,just by watching them,no,none,no,no,none
sub_31,no,by eye ,there was not a lot of time.,no,no,could have done with a bit more time ,no
sub_32,N/A,I looked at the curve of the edges ,only just,n/a,n/a,yes,n/a
sub_33,no,by taking good look at its shape and curve,yes,no all went well,no,yes,no all went well
sub_34,All clear!,"It was a bit hard sometimes. I do not know if I had a specific reasoning to choose one object or other. I tried to memorize the different shapes, and respond as quick as possible to them.",All good.,Nothing to add.,"No, all clear.",All good.,Nothing to add.
sub_35,"No, I understood it all fine!",I tried to judge based on how curvy and pointy each object was and went with the option I thought was most similar to the target object based on a mix of both of these,I did but I missed the first trial a couple of times so maybe more time on the first trial until we get our bearings if possible,"No, I enjoyed this task overall","No, I understood it all fine!",Yes I did,"I enjoyed this task also, well put together and I liked that you asked about technical issues after each one too!"
sub_36,No,Sharpness of edges,Yes,No,"Slightly unclear from the beginning, but easy to follow once the first one is done",Yes,No
sub_37,None,Focusing on similarities,Yes,Non,Non,Yes,None
sub_38,No,Difficult to tell sometimes but normally looking at the front of it,Mostly,No,No,Just about,No
sub_39,No,I'm not sure...I went with my gut on what fit what...if that makes sense?,Just...yes.,NA,No,Yes,NA
sub_40,no,"by comparing each one quickly then pressing either q, or P on my keyboard",could have done with a few more seconds on some,no,no,could have done with a few more seconds on some,no
sub_41,No it was all clear,"I tried to look for features such as a slight curve, or a rounded side",Some I struggled on,No,No,Sometimes I struggled,no
sub_42,no,If it had rounded edges usually.,yes,no,no,yes,no
sub_43,No,Mostly based on predominant shape,Yes,None,No,Yes,Very tough!
sub_44,nothing,if it was made of clay which shape would require the least manipulation to be the same as the target,yes,no,no,yes,no
sub_45,No,I looked at the middle one & decided using my peripheral vision to compare the two shapes either side.,Yes,No,No,Yes,I looked at the shading area of the shape towards the end of the trial which saw me have better results.
sub_46,it not too clear  if it really at per scion perfect is need.,by edge shape and sometime the 3 d layer,yep,it interesting ,na,yes,nope
sub_47,No it was all clear,I looked at whether it was convex or concave and then looked at how much it was compared to the middle one.,Yes,N/A,No it was all clear,Most of the time.,N/A
sub_48,no,By shape and size,"yes,",no,yeah easy to follow,yeah,no
sub_49,no,"I compared the sides, some were rounded in some rounded out, if they had both the same type of side, some had a different size overall",barely,no,no it was clear,yes,no
sub_50,None,"I tried to choose based on certain features, such as curved top edge and curved/straight bottom edges.",No,None,None,No,None
sub_51,Semi-clear,The shadow,sometimes,no,yes,yes,no
sub_52,no,closer to the originalshape,yes,none,no,yes,none
sub_53,no,looked at the shape pf the bases ,yes,none,no,ye,none
sub_54,No,"If the middle was more straight and triangular, I would choose the one closest the a triangle. I sort of looked at it as if the triangles are in different stages of development. So I would just think, would the triangle be closer in transformation to one or the other. ",Yes,No,No,Yes,No
sub_55,no,just by looking at the image and the gradiant,yes,no,no,yes,no
sub_56,no,the shape ,yes ,no,no,yes,no
sub_57,No,I sort of scanned it all at once and went with my 'instincts',Only just!,No,No,Yes,No
sub_58,Instructions were super clear with a good level of detail,I was judging based on the overall shape and the curves of the object,I felt like i had enough time to respond,"Interesting study, encouraged me to concentrate and compare the shapes thoroughly","Clear instructions, super helpful",I felt like i had enough time to respond without feeling time pressures,N/A
sub_59,no,i was watching the curves on the items and whether they curved in or out,yes,no,no,yes,no
sub_60,no,usually by how curvey or straight an object was. sometimes the direction the curve was going,maybe another second would help,no,no,yes,no
sub_61,None,The closest in terms of shape,yes,None,None,Yes,No
sub_62,No,Mostly focused on the end - how pointed/rounded it was and the edges (how curved),Yes ,No,No,Yes,None
sub_63,No,One that looked mostly the same when glancing,Yes,No,No,Yes,No
sub_64,No,I just looked at the outline and the sides and curves,Yes but i think i was conscious of missing them so i think maybe if i slowed down more i might have got a higher percentage,No. I thought it would be easy judging from the trial. and i thought i could easily get 85 percent plus. It was harder than i thought,No ,Yes,No
sub_65,no,how curvy the curves are and the shadows,yes,n/a,no,yes,n/a
sub_66,no,by te look of their corners,yes,no,no,yes,the lentghier the experiment the hader it was for me to distinquish differences
sub_67,no,looking at the lighter purple triangle,yes,no,no,yes,no
sub_68,"No, it was all very clear and simple to understand",I tried to look at the shape of the darker edges and assess their similarity.,"Yes, on most occasions I did",No,"Again, all very simple and clear","Yes, enough time most of the time",No
sub_69,no clear instructions were provided,how closest i felt it was ,yes,n/a,no,yes,n/a
sub_70,No,I decided which one looked more different and chose the other one,For the most part,No,No,Yes,No
sub_71,No,I looked for similar shapes in the base,I would have preferred more time to be sure of my decision,No,No,I tried to remember the shape of the left section of the base,No
sub_72,no,shape/curvature and depth of shape that could be seen ,yes,no,no,yes,no
sub_73,it was clear,tried to look for the shape which looked most like it,most of the time but sometimes could have done with more time,nope,i found it clear,i could have done with a bit more time of a few of them which looked similar to one another,nope
sub_74,no,no,yes,no,no,yes,no
sub_75,No,Mainly just instinct,Barely,no,No,Yes,no
sub_76,"No, I just felt very uneasy and had too much energy to keep my focus on the task at times.","I used the curves on the objects, and the shapes of them.","Yes and no, some were quite difficult.",No,No,"Yes and no, some were difficult.",No
sub_77,"No, not at all.",going through the object's shape ,"Yes, I did.",na,"No, not at all.","Yes, I did.",na
sub_78,"No, nothing was unclear, only that a pic of all the different shapes that were different the triangle spade etc. to help clarify the different shapes.",I went mostly with my gut in which I felt looked closer to the target.,"I guess so, not having a timer felt like I had to pick sooner than I probably had to, but ",I mentioned near the start of the task that a timer between each would have been nice to prepare position fingers etc. especially the similarity tasks as they loaded and started pretty quickly compared to Same/Different task.,"I did feel a little confused. You wrote the word exactly the same... only most weren't the same. They often looked similar, but they were slightly different in size or angle, very rarely exactly the same. I felt like a picture of or a number of how many shapes we were comparing would have helped before doing it to clarify meant to be comparable. IF that makes sense?","Again, I guess so... I think having too much time can be an hindrance.",Not that I can think of that I haven't covered above.
sub_79,no,a quick glance to see what looked as similar ,yes,nothing,no,yes,no
sub_80,no,looked at how much different they were,yes,no,no,yes,no
sub_81,"no, everything clear",intuition; there wasn't enough time to really think about it,sometimes the shape difference was so subtle i started to think and possibly ran out of time - not sure if i pressed the button just in time or if i missed out,none that i can think of,"no, everything clear",yes,none that i can think of
sub_82,no it was just very ticky,i tried to see which had the closest shado,a second or two more would of been helpful,i was harder then i thought it would be ,no,no,i kept getting muddled on the keys not because i didnt understand which was which but because it was fast paced and i kept tripping up on it 
sub_83,no it was clear,"I compared angles, looked at the amount of darker area visible, and at the shape of the curve on each object",yes there was sufficient time,It was quite difficult at times as some were very similar,the instructions were clear,yes,Some of the objects were very similar so it was hard to say if they were exactly the same 
sub_84,no,I looked at the curves and straight lines and tried to match them up with the target object.,yes,no,no,yes,no
sub_85,"No, the instructions were clear.","I looked at the overall shape to see if there was straight, convex or concave edges and also the form of the shadowed edges.","Yes, I feel I had enough time but I  would have been more accurate with a bit more time.",I was surprised by my accuracy score not being as high as I thought it would be.,"No, the instructions were clear.","Yes, I felt I had ample time.",This felt like an easier task than the similarity task.
sub_86,no,"follow my intuition, sometimes I focused more on the right hand side edge/shadow",Not for all trials,No,No,Yes,No
sub_87,Everything was clear.,"Tried to quickly look at the two on the left and the right, comparing the distinguishing features, convex or concave generally.",It depended on the trial. Some where they were all similar it was not quite enough time to compare all three.,No further feedback.,"No, everything was clear.",I think there was enough time in this task.,No further feedback.
sub_88,no,depending on the more rounded or sharp shape,no,noo,no,no,no
sub_89,no,no,yes,was ok,no,yes,was quite ok
sub_90,Everything was clear,I began looking to the lower right hand angle to determine the overall shape,Would have liked a little more time for each trial ,N/A,Everything was clear,Would have liked perhaps a second more per trial ,N//A
sub_91,No,I looked at the edges,"Yes, too much in most cases",No,No,"Yes, too long, in fact",No
sub_92,no everything was clear,i looked closely and made a decision based on shape,yes i did,i found it very interesting thank you,no everything was clear,yes i did,none thanks
sub_93,no,From consideration,Yes,None,No,Yes,None
sub_94,No all good,curve and circumference,no,no,no all good,yes,no
sub_95,no,just tried to look at it quickly and judge which was the same,just about,no,no,could have perhaps done with a bit longer,no
sub_96,no,"chose whichever looked most similar in terms of the curve, size etc",yes,n/a,no,yes,n/a
sub_97,no,i tried to follow the shape lines as best I could,yes,the pictures did not load a lot of the time making it impossible for me to do well.,no,yes,the pictures did not load a lot of the time making it impossible for me to do well.
sub_98,no,i tried to focus on the shape made by the shaded faces,yes,nothing to add,no,yes,nothing to add
sub_99,No,"Judging the shape, if it was more similar","Mostly, yes. Could have done with more time.",No,No,"Mostly, yes, but could have done with more time.",No
